Country,renewable_energy_percentage,Alternative and nuclear energy (% of total energy use),fossil_fuel_energy_percentage,Energy use (kg of oil equivalent per capita),CO2 emissions (kt),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),GDP (current US$),"School enrollment, primary (% gross)",Employment in industry (% of total employment) (modeled ILO estimate),Population growth (annual %),Population
Norway,61.4,31.3179314225439,56.9516286499811,5817.63660265655,36177.4,3.5,485513316503.63,98.9731903076172,19.3440558388993,1.13818460655469,5519594.0
Oman,0.1,0.0,99.963168651853,6067.7183634814,71041.5,3.0,108192457737.321,90.096809387207,46.8870441010881,1.47683734209876,4644384.0
Pakistan,41.6,4.03213940610342,61.5853614511118,431.626863440414,184111.2,3.0,338368455317.876,84.3679962158203,25.517039744416,1.9571034315941,240485658.0
Panama,28.0,8.85658059549827,80.7126619635031,1083.34616936412,9582.7,3.0,83382400000.0,101.456001281738,16.7051808074151,1.34074838442305,4468087.0
Paraguay,58.8,16.2964380107799,33.7033120450933,848.496425956796,7575.7,3.5,42956263543.9482,90.6060028076172,18.74360732744,1.18427440537002,6861524.0
Peru,30.6,7.18231926435614,79.5556835734868,783.354990590846,46578.9,3.0,267603248655.253,107.360000610352,17.45366511448,0.886323861618286,34352719.0
Philippines,28.0,2.90636149038805,62.4348962921868,470.496653640983,133471.3,3.5,437146372729.942,91.8720016479492,18.9088611076501,1.52719727728693,117337368.0
Poland,15.2,1.14302403851018,90.2913754356553,2490.20641907427,279223.8,3.5,811229100687.566,100.108032226562,30.8341339972151,-0.369758116260503,36685849.0
Portugal,32.3,8.04425464477711,77.024122555839,2131.68188764014,38973.5,3.0,287080013574.497,104.925727844238,24.0018561405552,1.10479001213844,10525347.0
Qatar,0.0,0.0,99.9950267210512,19903.4751057253,87578.3,3.25,235770403734.9,102.090957641602,40.0278624760759,0.786068869030495,2716391.0
Romania,23.6,14.5154624939702,72.5236945744128,1591.66765909995,68664.0,3.0,351002579629.67,90.7731704711914,32.8303421990284,0.047801854432771,19056116.0
Russian Federation,3.5,8.15652485967214,92.1428758178287,4928.56622731845,1618271.0,3.5,2021421476035.42,101.949310302734,26.5716596248985,-0.285217600763343,143826130.0
Saudi Arabia,0.1,4.02800456119996e-05,99.9280186217461,6645.96020788927,513555.8,3.0,1067582933333.33,102.705947875977,16.883160343428,1.46740769611431,36947025.0
Senegal,35.4,0.609516756427603,53.9091172097172,283.29618788648,10680.2,3.5,31013986429.1861,83.2787017822266,22.6258293491238,2.54699595340171,17763163.0
Serbia,27.2,5.65491497382229,83.8712616429286,1859.42888765227,46324.3,2.0,75187125426.7375,89.1468811035156,29.07621544685,-0.699014137453456,6618026.0
Singapore,1.1,0.192789211552613,90.5788735805032,5121.80431773157,43705.0,3.5,501427500080.059,99.8746490478516,14.2378190566168,4.85831607781442,5917648.0
Slovak Republic,17.9,27.4677924020321,64.0914950988802,3003.66421998152,29035.8,3.0,132793622283.071,100.326721191406,35.8780058180944,-0.0923148510113108,5426740.0
Slovenia,23.4,28.2258477362562,61.114199486892,3174.87258490422,12477.3,2.5,68216781410.5228,100.639137268066,30.1955580456974,0.422923513694067,2120937.0
South Africa,9.7,2.66495356753026,86.7914316914016,2686.37619555841,393241.6,3.0,377781600985.873,98.1153106689453,18.0780742367268,0.865464649421926,60414495.0
South Sudan,32.4,0.024563287596111,72.2226347839002,62.4466481005921,1742.7,1.0,11997800760.2242,81.8610000610352,13.7480306882107,1.59654622262538,11088796.0
Spain,19.0,19.9753766538585,72.9555461183378,2571.34096211178,202705.8,3.0,1580694712515.71,102.899139404297,20.0696415317728,1.23763541014937,48373336.0
Sri Lanka,48.8,3.43447351989789,50.545573977658,504.310821128808,21846.3,3.5,84356860421.13,96.8720016479492,27.041991449477,-0.651320770103285,22037000.0
Sudan,61.0,4.36539048900116,31.7265265898426,405.031774915957,20796.1,2.0,109327023588.732,77.7693176269531,14.5433338974617,2.6001891699622,48109006.0
Suriname,14.5,15.1876247264929,76.253495819507,1211.39512921244,2601.32,3.0,3782437296.04323,98.0430068969727,26.4437407267976,0.837207897304605,623236.0
Sweden,57.9,43.2411503756414,25.1170961346531,5102.78557831232,33576.1,3.5,593267701033.408,116.425392150879,17.2457346294194,0.472717863265105,10536632.0
Switzerland,27.7,39.8865358839965,50.1682254807986,2960.07338939119,34916.1,3.5,884940402230.409,101.363067626953,20.269050322555,0.84073604280258,8849852.0
Syrian Arab Republic,1.1,1.35082872186579,97.7917814326385,538.177219155299,25234.6,3.75,8980060818.72145,79.6461715698242,22.6640667467921,4.85965527721486,23227014.0
Tajikistan,34.9,37.481949469167,45.9841418625521,336.851522420153,9328.8,3.5,12060602008.8478,95.9131393432617,20.7535112914701,1.89847329660101,10143543.0
Tanzania,78.3,0.723885118164249,14.3806169518921,488.715614377551,14435.5,3.0,79158286333.524,95.504997253418,8.47208178281404,2.91944687054643,67438106.0
Thailand,19.0,1.10807573900785,79.83902265055,1926.16010050065,265478.9,3.5,514944993833.578,99.6829986572266,22.2352712897184,0.145296511250275,71801279.0
Togo,75.1,2.40600370949386,17.8006330312163,452.948068179183,2415.1,4.5,9171261835.06264,122.478256225586,20.0117044128343,2.29140060710712,9053799.0
Trinidad and Tobago,0.5,0.0,99.9195064232607,13489.037755892,15420.0,3.5,28139944790.2911,97.6362075805664,26.6751859093778,0.253948220302279,1534937.0
Tunisia,11.6,0.797658449883838,88.8703881043834,920.073308584482,29293.0,3.5,48529595416.6533,103.912643432617,33.3593541265408,0.822964272088378,12458223.0
Turkiye,12.0,6.65430058653642,86.843187660708,1657.9258591822,407406.2,3.0,1108022373259.51,102.596397399902,27.7310910881347,0.406430370277168,85326000.0
Turkmenistan,0.1,0.0,22.1449476199919,4723.33816927393,63655.0,2.5,59887334844.0651,110.284736633301,33.7280243070659,1.31817552142514,6516100.0
Ukraine,8.9,22.5308723985058,75.3495057807649,2334.3964739474,165663.6,2.75,178757021386.809,92.7710037231445,24.0984080172822,-2.66682470821613,37000000.0
United Arab Emirates,1.0,0.0969070800104919,86.1283490244126,7975.79060816431,188088.7,3.5,504173451327.434,115.833160400391,29.5773766657761,0.799054784290549,9516871.0
United Kingdom,12.2,13.1204197977575,80.3517712672552,2764.51667133806,308650.3,3.5,3340032380668.04,98.5245819091797,18.0561063330652,0.821212039762055,68350000.0
